3218,Poison(1991),Drama,,,,,,,
3219,PacificHeights(1990),Thriller,,,,,,,
3220,NightTide(1961),Drama,,,,,,,
3221,Draughtsman'sContract,The(1982),Drama,,,,,,,
3222,Carmen(1984),Drama,,,,,,,
3223,Zed&TwoNoughts,A(1985),Drama,,,,,,,
3224,WomanintheDunes(Sunanoonna)(1964),Drama,,,,,,,
3225,DowntoYou(2000),Comedy,Romance,,,,,,
3226,HellhoundsonMyTrail(1999),Documentary,,,,,,,
3227,NotLove,JustFrenzy(Másqueamor,frenesí)(1996),Comedy,Drama,Thriller,,,,,
3228,WireySpindell(2000),Comedy,,,,,,,
3229,AnotherMan'sPoison(1952),Crime,Drama,,,,,,
3230,OdessaFile,The(1974),Thriller,,,,,,,
3231,Saphead,The(1920),Comedy,,,,,,,
3232,SevenChances(1925),Comedy,,,,,,,
3233,SmashingTime(1967),Comedy,,,,,,,
3234,TrainRidetoHollywood(1978),Comedy,,,,,,,
3235,WheretheBuffaloRoam(1980),Comedy,,,,,,,
3236,Zachariah(1971),Western,,,,,,,
3237,Kestrel'sEye(Falkensöga)(1998),Documentary,,,,,,,
3238,EyeoftheBeholder(1999),Thriller,,,,,,,
3239,Isn'tSheGreat?(2000),Comedy,,,,,,,
3240,BigTease,The(1999),Comedy,,,,,,,
3241,Cup,The(Phörpa)(1999),Comedy,,,,,,,
3242,Santitos(1999),Comedy,,,,,,,
3243,EncinoMan(1992),Comedy,,,,,,,
3244,GoodbyeGirl,The(1977),Comedy,Romance,,,,,,
3245,IAmCuba(SoyCuba/YaKuba)(1964),Drama,,,,,,,
3246,MalcolmX(1992),Drama,,,,,,,
3247,SisterAct(1992),Comedy,Crime,Musical,,,,,
3248,SisterAct2,,,,,,,,
3249,HandThatRockstheCradle,The(1992),Drama,Thriller,,,,,,
3250,Alive(1993),Drama,,,,,,,
3251,AgnesofGod(1985),Drama,Mystery,,,,,,
3252,ScentofaWoman(1992),Drama,,,,,,,
3253,Wayne'sWorld(1992),Comedy,,,,,,,
3254,Wayne'sWorld2(1993),Comedy,,,,,,,
3255,LeagueofTheirOwn,A(1992),Comedy,Drama,,,,,,
3256,PatriotGames(1992),Action,Thriller,,,,,,
3257,Bodyguard,The(1992),Drama,Romance,Thriller,,,,,
3258,DeathBecomesHer(1992),Comedy,Fantasy,,,,,,
3259,FarandAway(1992),Adventure,Drama,Romance,,,,,
3260,HowardsEnd(1992),Drama,,,,,,,
3261,Singles(1992),Comedy,Drama,Romance,,,,,
3262,TwinPeaks,,,,,,,,
3263,WhiteMenCan'tJump(1992),Comedy,Drama,,,,,,
3264,BuffytheVampireSlayer(1992),Action,Comedy,Horror,,,,,
3265,Hard-Boiled(Latsausantaam)(1992),Action,Crime,Drama,Thriller,,,,
3266,ManBitesDog(C'estarrivéprèsdechezvous)(1992),Comedy,Crime,Drama,Thriller,,,,
3267,Mariachi,El(1992),Action,Crime,Thriller,Western,,,,
3268,Stop!OrMyMomWillShoot(1992),Action,Comedy,,,,,,
3269,ForeverYoung(1992),Adventure,Drama,Romance,Sci-Fi,,,,
3270,CuttingEdge,The(1992),Comedy,Drama,Romance,,,,,
3271,OfMiceandMen(1992),Drama,,,,,,,
3272,BadLieutenant(1992),Crime,Drama,,,,,,
3273,Scream3(2000),Comedy,Horror,Thriller,,,,,
3274,SingleWhiteFemale(1992),Drama,Thriller,,,,,,
3275,BoondockSaints,The(2000),Action,Comedy,Crime,Drama,Thriller,,,
3276,GunShy(2000),Comedy,,,,,,,
3277,Beloved/Friend(a.k.a.Amigo/Amado)(Amic/Amat)(1999),Drama,,,,,,,
3278,Gendernauts(1999),Documentary,,,,,,,
3279,Knockout(1999),Action,Adventure,,,,,,
3280,Baby,The(1973),Horror,,,,,,,
3281,BrandonTeenaStory,The(1998),Documentary,,,,,,,
3282,DifferentforGirls(1996),Comedy,,,,,,,
3283,MinnieandMoskowitz(1971),Action,,,,,,,
3284,TheyMightBeGiants(1971),Comedy,Romance,,,,,,
3285,Beach,The(2000),Adventure,Drama,,,,,,
3286,SnowDay(2000),Comedy,,,,,,,
3287,TiggerMovie,The(2000),Animation,Children,,,,,,
3288,CottonMary(1999),Drama,,,,,,,
3289,NotOneLess(Yigedoubunengshao)(1999),Drama,,,,,,,
3290,SoftToiletSeats(1999),Comedy,,,,,,,
3291,Trois(2000),Thriller,,,,,,,
3292,BigCombo,The(1955),Film-Noir,,,,,,,
3293,ConceivingAda(1997),Drama,Sci-Fi,,,,,,
3294,EatenAlive(1976),Horror,,,,,,,
3295,RainingStones(1993),Drama,,,,,,,
3296,ToSirwithLove(1967),Drama,,,,,,,
3297,WithByrdattheSouthPole(1930),Documentary,,,,,,,
3298,BoilerRoom(2000),Crime,Drama,Thriller,,,,,
3299,HangingUp(2000),Comedy,Drama,,,,,,
3300,PitchBlack(2000),Horror,Sci-Fi,Thriller,,,,,
3301,WholeNineYards,The(2000),Comedy,Crime,,,,,,
3302,BeautifulPeople(1999),Comedy,,,,,,,
3303,BlackTarHeroin,,,,,,,,
3304,BlueCollar(1978),Crime,Drama,,,,,,
3305,Bluebeard(1944),Film-Noir,Horror,,,,,,
3306,Circus,The(1928),Comedy,,,,,,,
3307,CityLights(1931),Comedy,Drama,Romance,,,,,
3308,FlamingoKid,The(1984),Comedy,Drama,,,,,,
3309,Dog'sLife,A(1918),Comedy,,,,,,,
3310,Kid,The(1921),Comedy,Drama,,,,,,
3311,ManfromLaramie,The(1955),Western,,,,,,,
3312,McCullochs,The(1975),Drama,,,,,,,
3313,ClassReunion(1982),Comedy,,,,,,,
3314,BigTrees,The(1952),Action,Drama,,,,,,
3315,HappyGoLovely(1951),Musical,,,,,,,
3316,ReindeerGames(2000),Action,Thriller,,,,,,
3317,WonderBoys(2000),Comedy,Drama,,,,,,
3318,Deterrence(1999),Drama,Thriller,,,,,,
3319,JudyBerlin(1999),Drama,,,,,,,
3320,Mifune'sLastSong(Mifunessidstesang)(1999),Comedy,Drama,Romance,,,,,
3321,WaitingGame,The(2000),Comedy,,,,,,,
3322,3Strikes(2000),Comedy,,,,,,,
3323,ChainofFools(2000),Comedy,Crime,,,,,,
3324,DrowningMona(2000),Comedy,,,,,,,
3325,NextBestThing,The(2000),Comedy,Drama,,,,,,
3326,WhatPlanetAreYouFrom?(2000),Comedy,Sci-Fi,,,,,,
3327,BeyondtheMat(1999),Documentary,,,,,,,
3328,GhostDog,,,,,,,,
3329,YearMyVoiceBroke,The(1987),Drama,,,,,,,
3330,SplendorintheGrass(1961),Drama,Romance,,,,,,
3331,MyTutor(1983),Drama,,,,,,,
3332,LegendofLobo,The(1962),Adventure,Children,,,,,,
3333,KillingofSisterGeorge,The(1968),Drama,,,,,,,
3334,KeyLargo(1948),Crime,Drama,Film-Noir,Thriller,,,,
3335,JailBait(1954),Crime,Drama,,,,,,
3336,ItHappenedHere(1966),Drama,Fantasy,War,,,,,
3337,I'llNeverForgetWhat's'isname(1967),Comedy,Drama,,,,,,
3338,ForAllMankind(1989),Documentary,,,,,,,
3339,CrossofIron(1977),War,,,,,,,
3340,BrideoftheMonster(1955),Horror,Sci-Fi,,,,,,
3341,BornYesterday(1950),Comedy,,,,,,,
3342,Birdy(1984),Drama,War,,,,,,
3343,AndGodCreatedWoman(1988),Comedy,Drama,Romance,,,,,
3344,BloodFeast(1963),Horror,,,,,,,
3345,Charlie,theLonesomeCougar(1967),Adventure,Children,,,,,,
3346,ColorMeBloodRed(1965),Horror,,,,,,,
3347,NeverCryWolf(1983),Adventure,Drama,,,,,,
3348,NightVisitor,The(1970),Crime,Thriller,,,,,,
3349,PerilsofPauline,The(1947),Comedy,,,,,,,
3350,RaisinintheSun,A(1961),Drama,,,,,,,
3351,TwoThousandManiacs!(1964),Horror,,,,,,,
3352,Brown'sRequiem(1998),Drama,,,,,,,
3353,CloserYouGet,The(2000),Comedy,Romance,,,,,,
3354,MissiontoMars(2000),Sci-Fi,,,,,,,
3355,NinthGate,The(1999),Fantasy,Horror,Mystery,Thriller,,,,
3356,CondoPainting(2000),Documentary,,,,,,,
3357,East-West(Est-ouest)(1999),Drama,Romance,,,,,,
3358,DefendingYourLife(1991),Comedy,Romance,,,,,,
3359,BreakingAway(1979),Comedy,Drama,,,,,,
3360,Hoosiers(1986),Drama,,,,,,,
3361,BullDurham(1988),Comedy,Drama,Romance,,,,,
3362,DogDayAfternoon(1975),Comedy,Crime,Drama,,,,,
3363,AmericanGraffiti(1973),Comedy,Drama,,,,,,
3364,AsphaltJungle,The(1950),Crime,Film-Noir,,,,,,
3365,Searchers,The(1956),Drama,Western,,,,,,
3367,Devil'sBrigade,The(1968),War,,,,,,,
3368,BigCountry,The(1958),Romance,Western,,,,,,
3369,AnyNumberCanWin(Mélodieensous-sol)(1963),Crime,,,,,,,
3370,Betrayed(1988),Drama,Thriller,,,,,,
3371,BoundforGlory(1976),Drama,,,,,,,
3372,BridgeatRemagen,The(1969),Action,War,,,,,,
3373,BuckandthePreacher(1972),Western,,,,,,,
3374,DaughtersoftheDust(1991),Drama,,,,,,,
3375,DestinationMoon(1950),Sci-Fi,,,,,,,
3376,FantasticNight,The(LaNuitFantastique)(1942),Romance,,,,,,,
3377,HangmenAlsoDie(1943),Drama,War,,,,,,
3378,Ogre,The(DerUnhold)(1996),Drama,,,,,,,
3379,OntheBeach(1959),Drama,,,,,,,
3380,Railroaded!(1947),Film-Noir,,,,,,,
3381,SlavestotheUnderground(1997),Comedy,Drama,,,,,,
3382,SongofFreedom(1936),Drama,,,,,,,
3383,BigFella(1937),Drama,Musical,,,,,,
3384,TakingofPelhamOneTwoThree,The(1974),Action,Crime,,,,,,
3385,Volunteers(1985),Comedy,,,,,,,
3386,JFK(1991),Drama,Mystery,Thriller,,,,,
3387,Who'sHarryCrumb?(1989),Comedy,,,,,,,
3388,HarryandtheHendersons(1987),Children,Comedy,,,,,,
3389,Let'sGetHarry(1986),Action,Adventure,,,,,,
3390,ShanghaiSurprise(1986),Adventure,,,,,,,
3391,Who'sThatGirl?(1987),Comedy,,,,,,,
3392,She-Devil(1989),Comedy,,,,,,,
3393,DatewithanAngel(1987),Comedy,Fantasy,Romance,,,,,
3394,BlindDate(1987),Comedy,Romance,,,,,,
3395,Nadine(1987),Comedy,,,,,,,
3396,MuppetMovie,The(1979),Children,Comedy,Musical,,,,,
3397,GreatMuppetCaper,The(1981),Children,Comedy,,,,,,
3398,MuppetsTakeManhattan,The(1984),Children,Comedy,Musical,,,,,
3399,SesameStreetPresentsFollowThatBird(1985),Children,Comedy,,,,,,
3400,We'reBack!ADinosaur'sStory(1993),Adventure,Animation,Children,Fantasy,,,,
3401,Baby...SecretoftheLostLegend(1985),Adventure,Sci-Fi,,,,,,
3402,TurtleDiary(1985),Drama,,,,,,,
3403,RaisetheTitanic(1980),Drama,Thriller,,,,,,
3404,Titanic(1953),Action,Drama,,,,,,
3405,NighttoRemember,A(1958),Action,Drama,,,,,,
3406,CaptainHoratioHornblower(1951),Action,Adventure,Drama,War,,,,
3407,CarriersAreWaiting,The(LesConvoyeursAttendent)(1999),Comedy,Drama,,,,,,
3408,ErinBrockovich(2000),Drama,,,,,,,
3409,FinalDestination(2000),Drama,Thriller,,,,,,
3410,SoftFruit(1999),Comedy,Drama,,,,,,
3411,Babymother(1998),Drama,,,,,,,
3412,Bear,The(Ours,L')(1988),Adventure,Children,Drama,,,,,
3413,Impact(1949),Crime,Drama,,,,,,
3414,LoveIsaMany-SplendoredThing(1955),Romance,,,,,,,
3415,Mirror,The(Zerkalo)(1975),Drama,,,,,,,
3417,CrimsonPirate,The(1952),Adventure,Comedy,Sci-Fi,,,,,
3418,Thelma&Louise(1991),Action,Adventure,Comedy,Crime,Drama,Romance,,
3419,SomethingforEveryone(1970),Comedy,Crime,,,,,,
3420,...AndJusticeforAll(1979),Drama,Thriller,,,,,,
3421,AnimalHouse(1978),Comedy,,,,,,,
3422,She'sGottaHaveIt(1986),Comedy,Romance,,,,,,
3423,SchoolDaze(1988),Drama,,,,,,,
3424,DotheRightThing(1989),Comedy,Drama,,,,,,
3425,Mo'BetterBlues(1990),Drama,Musical,,,,,,
3426,JungleFever(1991),Drama,Romance,,,,,,
3427,Coogan'sBluff(1968),Crime,,,,,,,
3428,Champ,The(1979),Drama,,,,,,,
3429,CreatureComforts(1989),Animation,Comedy,,,,,,
3430,DeathWish(1974),Action,Crime,Drama,,,,,
3431,DeathWish2(1982),Action,Drama,,,,,,
3432,DeathWish3(1985),Action,Drama,,,,,,
3433,DeathWish4,,,,,,,,
3434,DeathWishV,,,,,,,,
3435,DoubleIndemnity(1944),Crime,Drama,Film-Noir,,,,,
3436,DyingYoung(1991),Drama,Romance,,,,,,
3437,CoolasIce(1991),Drama,,,,,,,
3438,TeenageMutantNinjaTurtles(1990),Action,Children,Comedy,Fantasy,Sci-Fi,,,
3439,TeenageMutantNinjaTurtlesII,,,,,,,,
3440,TeenageMutantNinjaTurtlesIII(1993),Action,Children,Fantasy,,,,,
3441,RedDawn(1984),Action,Drama,War,,,,,
3442,BandoftheHand(1986),Action,,,,,,,
3443,BornAmerican(1986),Action,Drama,Thriller,,,,,
3444,Bloodsport(1988),Action,,,,,,,
3445,EyesofLauraMars(1978),Mystery,Thriller,,,,,,
3446,FunnyBones(1995),Comedy,Drama,,,,,,
3447,GoodEarth,The(1937),Drama,,,,,,,
3448,GoodMorning,Vietnam(1987),Comedy,Drama,War,,,,,
3449,GoodMother,The(1988),Drama,,,,,,,
3450,GrumpyOldMen(1993),Comedy,,,,,,,
3451,GuessWho'sComingtoDinner(1967),Drama,,,,,,,
3452,RomeoMustDie(2000),Action,Crime,Romance,Thriller,,,,
3453,HereonEarth(2000),Drama,Romance,,,,,,
3454,WhateverItTakes(2000),Comedy,Romance,,,,,,
3455,BuddyBoy(1999),Drama,Thriller,,,,,,
3456,ColorofParadise,The(Rang-ekhoda)(1999),Drama,,,,,,,
3457,WakingtheDead(2000),Drama,Thriller,,,,,,
3458,BloodandSand(SangreyArena)(1989),Drama,Romance,,,,,,
3459,Gothic(1986),Drama,Horror,,,,,,
3460,HillbillysinaHauntedHouse(1967),Comedy,,,,,,,
3461,LordoftheFlies(1963),Adventure,Drama,Horror,Thriller,,,,
3462,ModernTimes(1936),Comedy,Romance,,,,,,
3463,LastResort(a.k.a.NationalLampoon'sLastResort)(1994),Comedy,,,,,,,
3464,SolarCrisis(1990),Sci-Fi,Thriller,,,,,,
3465,That'sLife!(1986),Drama,,,,,,,
3466,HeartandSouls(1993),Comedy,Fantasy,,,,,,
3467,Hud(1963),Drama,Western,,,,,,
3468,Hustler,The(1961),Drama,,,,,,,
3469,InherittheWind(1960),Drama,,,,,,,
3470,DersuUzala(1975),Adventure,Drama,,,,,,
3471,CloseEncountersoftheThirdKind(1977),Adventure,Drama,Sci-Fi,,,,,
3472,HorrorHotel(a.k.a.CityoftheDead,The)(1960),Horror,Thriller,,,,,,
3473,JonahWhoWillBe25intheYear2000(Jonasquiaura25ansenl'an2000)(1976),Comedy,,,,,,,
3474,Retroactive(1997),Sci-Fi,Thriller,,,,,,
3475,PlaceintheSun,A(1951),Drama,Romance,,,,,,
3476,Jacob'sLadder(1990),Drama,Fantasy,Horror,Mystery,Thriller,,,
3477,EmpireRecords(1995),Comedy,Drama,,,,,,
3478,Bamba,La(1987),Drama,,,,,,,
3479,Ladyhawke(1985),Adventure,Fantasy,Romance,,,,,
3480,Lucas(1986),Drama,Romance,,,,,,
3481,HighFidelity(2000),Comedy,Drama,Romance,,,,,
3483,RoadtoElDorado,The(2000),Animation,Children,,,,,,
3484,Skulls,The(2000),Thriller,,,,,,,
3485,Autopsy(MacchieSolari)(1975),Horror,,,,,,,
3486,DevilGirlFromMars(1954),Sci-Fi,,,,,,,
3487,ElDorado(1967),Western,,,,,,,
3488,HideousSunDemon,The(1959),Horror,Sci-Fi,,,,,,
3489,Hook(1991),Adventure,Comedy,Fantasy,,,,,
3490,HorrorExpress(1972),Horror,,,,,,,
3491,MyChauffeur(1986),Comedy,,,,,,,
3492,SonoftheSheik,The(1926),Adventure,Drama,,,,,,
3493,Torso(ICorpiPresentanoTraccediViolenzaCarnale)(1973),Horror,Mystery,Thriller,,,,,
3494,TrueGrit(1969),Adventure,Western,,,,,,
3495,RoadsideProphets(1992),Comedy,Drama,,,,,,
3496,MadameSousatzka(1988),Drama,,,,,,,
3497,MaxDuganReturns(1983),Comedy,,,,,,,
3498,MidnightExpress(1978),Drama,,,,,,,
3499,Misery(1990),Drama,Horror,Thriller,,,,,
3500,Mr.SaturdayNight(1992),Comedy,Drama,,,,,,
3501,Murphy'sRomance(1985),Comedy,Romance,,,,,,
3502,MyLife(1993),Drama,,,,,,,
3503,Solaris(Solyaris)(1972),Drama,Mystery,Sci-Fi,,,,,
3504,Network(1976),Comedy,Drama,,,,,,
3505,NoWayOut(1987),Drama,Mystery,Thriller,,,,,
3506,NorthDallasForty(1979),Comedy,Drama,,,,,,
3507,OddCouple,The(1968),Comedy,Drama,,,,,,
3508,OutlawJoseyWales,The(1976),Action,Adventure,Drama,Western,,,,
3509,BlackandWhite(1999),Drama,,,,,,,
3510,Frequency(2000),Drama,Thriller,,,,,,
3511,ReadytoRumble(2000),Comedy,,,,,,,
3512,ReturntoMe(2000),Drama,Romance,,,,,,
3513,RulesofEngagement(2000),Drama,Thriller,,,,,,
3514,JoeGould'sSecret(2000),Drama,,,,,,,
3515,MeMyselfI(2000),Comedy,Romance,,,,,,
3516,Bell,BookandCandle(1958),Comedy,Fantasy,Romance,,,,,
3517,Bells,The(1926),Crime,Drama,,,,,,
3518,EndofViolence,The(1997),Drama,Thriller,,,,,,
3519,Force10fromNavarone(1978),Action,War,,,,,,
3520,HowtoStuffaWildBikini(1965),Comedy,,,,,,,
3521,MysteryTrain(1989),Comedy,Drama,,,,,,
3522,SaccoandVanzetti(SaccoeVanzetti)(1971),Drama,,,,,,,
3523,Taffin(1988),Action,Thriller,,,,,,
3524,Arthur(1981),Comedy,Romance,,,,,,
3525,BachelorParty(1984),Comedy,,,,,,,
3526,Parenthood(1989),Comedy,Drama,,,,,,
3527,Predator(1987),Action,Sci-Fi,Thriller,,,,,
3528,PrinceofTides,The(1991),Drama,Romance,,,,,,
3529,PostmanAlwaysRingsTwice,The(1981),Crime,Thriller,,,,,,
3530,Smoking/NoSmoking(1993),Comedy,,,,,,,
3531,AlltheVermeersinNewYork(1990),Comedy,Drama,Romance,,,,,
3533,Actor'sRevenge,An(Yukinojohenge)(1963),Drama,,,,,,,
3534,28Days(2000),Drama,,,,,,,
3535,AmericanPsycho(2000),Comedy,Crime,Drama,Horror,Mystery,Thriller,,
3536,KeepingtheFaith(2000),Comedy,Drama,Romance,,,,,
3537,WheretheMoneyIs(2000),Comedy,Drama,,,,,,
3538,EastisEast(1999),Comedy,,,,,,,
3539,FilthandtheFury,The(2000),Documentary,,,,,,,
3540,PassionofMind(1999),Drama,Mystery,Romance,,,,,
3541,ThirdWorldCop(1999),Action,,,,,,,
3542,ComingApart(1969),Drama,,,,,,,
3543,Diner(1982),Comedy,Drama,,,,,,
3544,ShakestheClown(1992),Comedy,,,,,,,
3545,Cabaret(1972),Musical,War,,,,,,
3546,WhatEverHappenedtoBabyJane?(1962),Drama,Thriller,,,,,,
3547,PrickUpYourEars(1987),Comedy,Drama,,,,,,
3548,AuntieMame(1958),Comedy,Drama,,,,,,
3549,GuysandDolls(1955),Comedy,Musical,Romance,,,,,
3550,Hunger,The(1983),Horror,,,,,,,
3551,MarathonMan(1976),Crime,Drama,Thriller,,,,,
3552,Caddyshack(1980),Comedy,,,,,,,
3553,Gossip(2000),Drama,Thriller,,,,,,
3554,LoveandBasketball(2000),Drama,Romance,,,,,,
3555,U-571(2000),Action,Thriller,,,,,,
3556,VirginSuicides,The(1999),Drama,Mystery,,,,,,
3557,Jennifer8(1992),Mystery,Thriller,,,,,,
3558,Law,The(a.k.a.WheretheHotWindBlows!)(LeLegge)(1958),Drama,,,,,,,
3559,Limelight(1952),Comedy,Drama,Romance,,,,,
3560,IntheRealmofPassion(a.k.a.PhantomLove)(AiNoBorei)(1978),Drama,,,,,,,
3561,Stacy'sKnights(1982),Drama,,,,,,,
3562,Committed(2000),Comedy,Drama,,,,,,
3563,Crow,,,,,,,,
3564,FlintstonesinVivaRockVegas,The(2000),Children,Comedy,,,,,,
3565,WheretheHeartIs(2000),Comedy,Drama,,,,,,
3566,BigKahuna,The(2000),Comedy,Drama,,,,,,
3567,BossaNova(2000),Comedy,Drama,Romance,,,,,
3568,GoatonFireandSmilingFish(1999),Comedy,Romance,,,,,,
3569,Idiots,The(Idioterne)(1998),Comedy,Drama,,,,,,
3570,LastSeptember,The(1999),Drama,,,,,,,
3571,TimeCode(2000),Comedy,Drama,,,,,,
3572,Carnosaur(1993),Horror,Sci-Fi,,,,,,
3573,Carnosaur2(1995),Horror,Sci-Fi,,,,,,
3574,Carnosaur3,,,,,,,,
3575,DefyingGravity(1997),Drama,,,,,,,
3576,Hidden,The(1987),Action,Horror,Sci-Fi,,,,,
3577,TwoMoonJunction(1988),Drama,Romance,,,,,,
3578,Gladiator(2000),Action,Adventure,Drama,,,,,
3579,IDreamedofAfrica(2000),Drama,,,,,,,
3580,UpattheVilla(2000),Drama,,,,,,,
3581,HumanTraffic(1999),Comedy,,,,,,,
3582,Jails,Hospitals&Hip-Hop(2000),Comedy,Documentary,Drama,,,,,
3583,BlackTights(1-2-3-4ouLesCollantsnoirs)(1960),Drama,Musical,,,,,,
3584,Breathless(1983),Action,Drama,Romance,Thriller,,,,
3585,GreatLocomotiveChase,The(1956),Adventure,War,,,,,,
3586,Idolmaker,The(1980),Drama,,,,,,,
3587,Inferno(1980),Horror,,,,,,,
3588,KingofMarvinGardens,The(1972),Crime,Drama,,,,,,
3589,WhomtheGodsWishtoDestroy(Nibelungen,Teil1,,,,,,,,
3590,LordsofFlatbush,The(1974),Comedy,Drama,,,,,,
3591,Mr.Mom(1983),Comedy,Drama,,,,,,
3592,TimeMasters(LesMaîtresduTemps)(1982),Animation,Sci-Fi,,,,,,
3593,BattlefieldEarth(2000),Action,Sci-Fi,,,,,,
3594,CenterStage(2000),Drama,Musical,,,,,,
3595,HeldUp(1999),Comedy,,,,,,,
3596,Screwed(2000),Comedy,,,,,,,
3597,Whipped(2000),Comedy,,,,,,,
3598,Hamlet(2000),Crime,Drama,Romance,Thriller,,,,
3599,AnchorsAweigh(1945),Comedy,Musical,,,,,,
3600,BlueHawaii(1961),Comedy,Musical,,,,,,
3601,CastawayCowboy,The(1974),Comedy,Western,,,,,,
3602,G.I.Blues(1960),Comedy,Musical,Romance,,,,,
3603,GayDeceivers,The(1969),Comedy,,,,,,,
3604,Gypsy(1962),Musical,,,,,,,
3605,KingCreole(1958),Drama,Musical,,,,,,
3606,OntheTown(1949),Comedy,Musical,Romance,,,,,
3607,OneLittleIndian(1973),Comedy,Drama,Western,,,,,
3608,Pee-wee'sBigAdventure(1985),Comedy,,,,,,,
3609,RegrettoInform(1998),Documentary,,,,,,,
3610,Roustabout(1964),Musical,,,,,,,
3611,SaludosAmigos(1943),Animation,Children,Comedy,,,,,
3612,SlipperandtheRose,The(1976),Adventure,Musical,Romance,,,,,
3613,ThingsChange(1988),Comedy,,,,,,,
3614,HoneymooninVegas(1992),Comedy,Romance,,,,,,
3615,Dinosaur(2000),Animation,Children,,,,,,
3616,Loser(2000),Comedy,Romance,,,,,,
3617,RoadTrip(2000),Comedy,,,,,,,
3618,SmallTimeCrooks(2000),Comedy,,,,,,,
3619,HollywoodKnights,The(1980),Comedy,,,,,,,
3620,MythofFingerprints,The(1997),Comedy,Drama,,,,,,
3621,Possession(1981),Drama,Horror,,,,,,
3622,TwelveChairs,The(1970),Comedy,,,,,,,
3623,Mission,,,,,,,,
3624,ShanghaiNoon(2000),Action,Adventure,Comedy,Western,,,,
3625,BetterLivingThroughCircuitry(1999),Documentary,,,,,,,
3626,8½Women(a.k.a.81/2Women)(a.k.a.EightandaHalfWomen)(1999),Comedy,,,,,,,
3627,CarnivalofSouls(1962),Horror,Thriller,,,,,,
3628,FlyingTigers(1942),Action,Drama,Romance,War,,,,
3629,GoldRush,The(1925),Adventure,Comedy,Romance,,,,,
3630,HouseofExorcism,The(a.k.a.LisaandtheDevil)(LaCasadell'esorcismo)(1973),Horror,,,,,,,
3631,It'sintheWater(1998),Comedy,,,,,,,
3632,MonsieurVerdoux(1947),Comedy,Crime,,,,,,
3633,OnHerMajesty'sSecretService(1969),Action,Adventure,Thriller,,,,,
3634,SevenDaysinMay(1964),Thriller,,,,,,,
3635,SpyWhoLovedMe,The(1977),Action,Adventure,Thriller,,,,,
3636,ThoseWhoLoveMeCanTaketheTrain(Ceuxquim'aimentprendrontletrain)(1998),Drama,,,,,,,
3637,Vagabond(Sanstoitniloi)(1985),Drama,,,,,,,
3638,Moonraker(1979),Action,Adventure,Romance,Sci-Fi,Thriller,,,
3639,ManwiththeGoldenGun,The(1974),Action,Adventure,Thriller,,,,,
3640,KinginNewYork,A(1957),Comedy,Drama,,,,,,
3641,WomanofParis,A(1923),Drama,,,,,,,
3642,InOldCalifornia(1942),Western,,,,,,,
3643,FightingSeabees,The(1944),Action,Drama,War,,,,,
3644,DarkCommand(1940),Western,,,,,,,
3645,CleoFrom5to7(Cléode5à7)(1962),Drama,,,,,,,
3646,BigMomma'sHouse(2000),Comedy,,,,,,,
3647,RunningFree(1999),Adventure,Children,Drama,,,,,
3648,AbominableSnowman,The(1957),Horror,Sci-Fi,,,,,,
3649,AmericanGigolo(1980),Drama,,,,,,,
3650,Anguish(Angustia)(1987),Horror,,,,,,,
3651,BloodSpatteredBride,The(LaNoviaEnsangrentada)(1972),Horror,,,,,,,
3652,CityoftheLivingDead(Pauranellacittàdeimortiviventi)(1980),Horror,,,,,,,
3653,EndlessSummer,The(1966),Documentary,,,,,,,
3654,GunsofNavarone,The(1961),Action,Adventure,Drama,War,,,,
3655,Blow-Out(LaGrandeBouffe)(1973),Drama,,,,,,,
3656,Lured(1947),Crime,,,,,,,
3657,PandoraandtheFlyingDutchman(1951),Drama,,,,,,,
3658,QuatermassandthePit(1967),Horror,Sci-Fi,,,,,,
3659,EnemyfromSpace(Quatermass2)(1957),Sci-Fi,Thriller,,,,,,
3660,PuppetMaster(1989),Horror,Sci-Fi,Thriller,,,,,
3661,PuppetMasterII(1990),Horror,Sci-Fi,Thriller,,,,,
3662,PuppetMasterIII,,,,,,,,
3663,PuppetMaster4(1993),Horror,Sci-Fi,Thriller,,,,,
3664,PuppetMaster5,,,,,,,,
3665,CurseofthePuppetMaster(1998),Horror,Sci-Fi,Thriller,,,,,
3666,RetroPuppetMaster(1999),Horror,Sci-Fi,Thriller,,,,,
3667,Rent-A-Cop(1988),Action,Comedy,Crime,,,,,
3668,RomeoandJuliet(1968),Drama,Romance,,,,,,
3669,StayTuned(1992),Comedy,,,,,,,
3670,StoryofG.I.Joe,The(1945),War,,,,,,,
3671,BlazingSaddles(1974),Comedy,Western,,,,,,
3672,Benji(1974),Adventure,Children,,,,,,
3673,BenjitheHunted(1987),Adventure,Children,,,,,,
3674,FortheLoveofBenji(1977),Adventure,Children,,,,,,
3675,WhiteChristmas(1954),Comedy,Musical,Romance,,,,,
3676,Eraserhead(1977),Drama,Horror,,,,,,
3677,Baraka(1992),Documentary,,,,,,,
3678,ManwiththeGoldenArm,The(1955),Drama,,,,,,,
3679,DeclineofWesternCivilization,The(1981),Documentary,,,,,,,
3680,DeclineofWesternCivilizationPartII,,,,,,,,
3681,ForaFewDollarsMore(Perqualchedollaroinpiù)(1965),Action,Drama,Thriller,Western,,,,
3682,MagnumForce(1973),Action,Crime,Drama,Thriller,,,,
3683,BloodSimple(1984),Crime,Drama,Film-Noir,,,,,
